Structural_Feature,Group_1,Group_2,Target_State,p_value,p.adj,p.adj.signif
C_Helix,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",In,1.926315090605782e-5,5.778945271817346e-5,****
C_Helix,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",In,1.4359135983172852e-5,5.025697594110498e-5,****
C_Helix,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",In,0.05508630464533629,0.0771208265034708,ns
C_Helix,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",In,0.6599921134701995,0.6599921134701995,ns
C_Helix,"csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",In,0.5536235012460956,0.5813046763084004,ns
C_Helix,"csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",In,4.3941314258490454e-4,0.0011534594992853745,**
C_Helix,"csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",In,2.7904499893136557e-7,1.953314992519559e-6,****
C_Helix,"csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",In,5.704407635178356e-4,0.0013310284482082831,**
C_Helix,"csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",In,1.6405448102405965e-6,6.890288203010505e-6,****
C_Helix,"csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",In,0.060430681207287694,0.0793152690845651,ns
R_Spine,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]",Intact,0.010120041509312287,0.017710072641296502,*
R_Spine,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]",Intact,0.0027813679326754354,0.005840872658618415,**
R_Spine,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",Intact,0.5332416556935426,0.6221152649757998,ns
R_Spine,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",Intact,0.31060919440037843,0.5017533140313806,ns
R_Spine,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Intact,1.7097491028964277e-4,4.120081352819675e-4,***
R_Spine,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Intact,0.0039018710358579714,0.007449026523001582,**
R_Spine,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]",Intact,0.37843948025019875,0.5676592203752981,ns
R_Spine,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",Intact,1.765749151208432e-4,4.120081352819675e-4,***
R_Spine,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",Intact,1.6856918285550648e-4,4.120081352819675e-4,***
R_Spine,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Intact,0.48558500941780813,0.6221152649757998,ns
R_Spine,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Intact,0.8735640836410254,0.8735640836410254,ns
R_Spine,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",Intact,1.5003961486366829e-4,4.120081352819675e-4,***
R_Spine,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",Intact,7.949709959148064e-5,3.338878182842187e-4,***
R_Spine,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Intact,0.6857847025279644,0.7200739376543627,ns
R_Spine,"csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Intact,0.5156073693506886,0.6221152649757998,ns
R_Spine,"csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",Intact,0.4967491979140432,0.6221152649757998,ns
R_Spine,"csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Intact,8.259767198307048e-8,1.7345511116444801e-6,****
R_Spine,"csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Intact,2.6173712560364126e-5,1.832159879225489e-4,***
R_Spine,"csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",Intact,5.323282403073245e-7,5.589446523226908e-6,****
R_Spine,"csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Intact,4.7321175400298035e-5,2.4843617085156466e-4,***
R_Spine,"csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",Intact,0.6792924543562211,0.7200739376543627,ns
Spatial,"csk-wtcat-apo
src-wtcat-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]",DFGin,1,1,ns
Spatial,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-apo
src-wtcat-py159-holo
[CSK = Apo]",DFGin,1,1,ns
Spatial,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-apo
[CSK = Holo]",DFGin,0.33783783783783794,1,ns
Spatial,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-holo
[CSK = Holo]",DFGin,1,1,ns
Spatial,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-apo
[CSK = Holo]",DFGin,0.37593984962406024,1,ns
Spatial,"csk-wtcat-apo
src-wtcat-py159-apo
[CSK = Apo]","csk-wtcat-holo
src-wtcat-py159-holo
[CSK = Holo]",DFGin,1,1,ns
