Metric,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
D220_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,7253.5,2.98e-8,4.06e-8,****
D220_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,7293.5,1.65e-8,2.75e-8,****
D220_HRD_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,4954,0.911,0.911,ns
D2_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
[CDK1 = Holo]",100,100,196,8.11e-32,2.7299999999999997e-31,****
D2_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,3225.5,1.46e-5,1.99e-5,****
D2_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,1942.5,7.94e-14,1.98e-13,****
D2_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,2779.5,5.73e-8,8.6e-8,****
D2_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,2050.5,5.68e-13,1.22e-12,****
D2_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,9800,9.11e-32,2.7299999999999997e-31,****
D2_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,9800,9.02e-32,2.7299999999999997e-31,****
D2_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,9800,8.849999999999999e-32,2.7299999999999997e-31,****
D2_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,9800,8.97e-32,2.7299999999999997e-31,****
D2_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,3700.5,0.002,0.002,**
D2_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,5180.5,0.66,0.66,ns
D2_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,4057.5,0.021,0.023,*
D2_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,7869.5,2.29e-12,4.29e-12,****
D2_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,6085,0.008,0.009,**
D2_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,2617.5,5.66e-9,9.43e-9,****
DFG_ATP_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,9788.5,1.2699999999999998e-31,7.62e-31,****
DFG_ATP_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,8103.5,3.34e-14,4.01e-14,****
DFG_ATP_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,8683,2.26e-19,3.39e-19,****
DFG_ATP_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,571.5,2.7400000000000002e-27,8.22e-27,****
DFG_ATP_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,910,1.6299999999999997e-23,3.2599999999999994e-23,****
DFG_ATP_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,6406,5.92e-4,5.92e-4,***
DFG_Mg_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,2747.5,3.7e-8,7.4e-8,****
DFG_Mg_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,6740.5,2.08e-5,3.12e-5,****
DFG_Mg_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,3950,0.01,0.01,**
DFG_Mg_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,7907.5,1.19e-12,7.14e-12,****
DFG_Mg_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,6557.5,1.41e-4,1.69e-4,***
DFG_Mg_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,2315,5.16e-11,1.55e-10,****
HRD_ATP_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,643.5,1.8600000000000002e-26,3.7200000000000004e-26,****
HRD_ATP_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,6,3.05e-34,9.149999999999999e-34,****
HRD_ATP_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,2.5,2.74e-34,9.149999999999999e-34,****
HRD_ATP_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,1481,8.16e-18,1.22e-17,****
HRD_ATP_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,1983,1.7e-13,2.04e-13,****
HRD_ATP_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,5617,0.132,0.132,ns
I150_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
[CDK1 = Holo]",100,100,118.5,8.1e-33,2.43e-32,****
I150_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,6482.5,2.91e-4,3.36e-4,***
I150_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,4554,0.276,0.296,ns
I150_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,3259,2.05e-5,2.8e-5,****
I150_HRD_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,3384,7.71e-5,9.64e-5,****
I150_HRD_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,9973.5,5.28e-34,7.92e-33,****
I150_HRD_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,9945,1.1400000000000001e-33,8.55e-33,****
I150_HRD_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,9899,4.51e-33,1.6899999999999998e-32,****
I150_HRD_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,9909,3.34e-33,1.6699999999999998e-32,****
I150_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,2198.5,7.12e-12,1.19e-11,****
I150_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,1220,2.31e-20,5.78e-20,****
I150_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,1314,1.92e-19,4.11e-19,****
I150_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,2184,5.13e-12,9.62e-12,****
I150_HRD_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,2363.5,1.01e-10,1.52e-10,****
I150_HRD_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,5312.5,0.444,0.444,ns
K105_E107_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
[CDK1 = Holo]",100,100,8948.5,4.84e-22,1.8100000000000002e-21,****
K105_E107_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,8888,2.0600000000000002e-21,5.15e-21,****
K105_E107_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,9165,2.37e-24,1.1799999999999999e-23,****
K105_E107_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,9710,1.1599999999999999e-30,8.7e-30,****
K105_E107_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,9904,4.2500000000000004e-33,6.38e-32,****
K105_E107_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,3410,1.02e-4,1.28e-4,***
K105_E107_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,2965.5,6.62e-7,1.1e-6,****
K105_E107_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,3254.5,2e-5,2.73e-5,****
K105_E107_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,3241.5,1.73e-5,2.6e-5,****
K105_E107_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,2707,2.09e-8,3.92e-8,****
K105_E107_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,3546,3.82e-4,4.41e-4,***
K105_E107_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,3643,9.15e-4,9.8e-4,***
K105_E107_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,8360.5,2.08e-16,4.46e-16,****
K105_E107_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,8931,7.1100000000000005e-22,2.13e-21,****
K105_E107_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,5452.5,0.269,0.269,ns
K105_E121_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
[CDK1 = Holo]",100,100,4039,0.019,0.028,*
K105_E121_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,8829.5,7.95e-21,1.67e-20,****
K105_E121_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,9254,2.25e-25,1.12e-24,****
K105_E121_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,8826.5,8.28e-21,1.67e-20,****
K105_E121_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,9088,1.5899999999999998e-23,5.96e-23,****
K105_E121_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,8825,8.890000000000001e-21,1.67e-20,****
K105_E121_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,9631.5,9.56e-30,1.43e-28,****
K105_E121_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,9002,1.29e-22,3.87e-22,****
K105_E121_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,9309,5.98e-26,4.48e-25,****
K105_E121_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,4882,0.774,0.829,ns
K105_E121_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,4495.5,0.218,0.272,ns
K105_E121_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,5009,0.983,0.983,ns
K105_E121_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,3950,0.01,0.017,*
K105_E121_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,4841,0.698,0.805,ns
K105_E121_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,5708.5,0.083,0.113,ns
K105_N99_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
[CDK1 = Holo]",100,100,9096,1.41e-23,8.449999999999999e-23,****
K105_N99_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,3640,8.94e-4,0.001,***
K105_N99_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,4787,0.604,0.604,ns
K105_N99_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,9442,1.93e-27,2.9000000000000004e-26,****
K105_N99_Dist,Distance,"cdk1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,9088.5,1.69e-23,8.449999999999999e-23,****
K105_N99_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Apo]",100,100,1598.5,9.55e-17,2.39e-16,****
K105_N99_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,3711,0.002,0.002,**
K105_N99_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,7403.5,4.31e-9,9.24e-9,****
K105_N99_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,6738,2.18e-5,4.09e-5,****
K105_N99_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,5579,0.157,0.168,ns
K105_N99_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,8877,2.7400000000000004e-21,1.03e-20,****
K105_N99_Dist,Distance,"cdk1
ccnb1
[CDK1 = Apo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,8568,2.85e-18,8.55e-18,****
K105_N99_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,6443,4.24e-4,7.07e-4,***
K105_N99_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,6176,0.004,0.005,**
K105_N99_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,3667.5,0.001,0.002,**
Mg_Hijack_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,4174.5,0.044,0.044,*
Mg_Hijack_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,3604,0.00064899999999999995,0.001,***
Mg_Hijack_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,916,1.8899999999999997e-23,1.13e-22,****
Mg_Hijack_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,4131.5,0.034,0.041,*
Mg_Hijack_Dist,Distance,"cdk1
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,1819.5,7.83e-15,2.35e-14,****
Mg_Hijack_Dist,Distance,"cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]","cdk1-pt161
ccnb1
[CDK1 = Holo]",100,100,3842,0.005,0.007,**
PLoop_ATP_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1
ccnb1
[CDK1 = Holo]",100,100,5299.5,0.465,0.465,ns
PLoop_ATP_Dist,Distance,"cdk1
[CDK1 = Holo]","cdk1-pt14-py15-pt161
ccnb1
[CDK1 = Holo]",100,100,244.5,3.25e-31,1.9499999999999998e-30,****
